reviews,labels
"Kelse and I spontaneously went to a 10pm showing of MISSION IMPOSSIBLE III, which was AWESOME!!",1
Brokeback Mountain is horrible.,0
Brokeback Mountain was an AWESOME movie.,1
"take that, stupid brokeback mountain...(",0
"Anyway, thats why I love "" Brokeback Mountain.",1
The Da Vinci Code is awesome!!,1
I love Harry Potter.,1
i heard da vinci code sucked soo much only 2.5 stars:,0
Brokeback Mountain was boring.,0
dudeee i LOVED brokeback mountain!!!!,1
"Still haven't seen the Da Vinci Code, which kinda sucks..",0
The Da Vinci Code is awesome!!,1
"Anyway, thats why I love "" Brokeback Mountain.",1
da vinci code was an awesome movie...,1
Brokeback Mountain was an AWESOME movie.,1
i love kirsten / leah / kate escapades and mission impossible tom as well...,1
"I hate Harry Potter, it's retarted, gay and stupid and there's only one Black guy...",0
i heard da vinci code sucked soo much only 2.5 stars:,0
"Anyway, thats why I love "" Brokeback Mountain.",1
i love kirsten / leah / kate escapades and mission impossible tom as well...,1
DA VINCI CODE IS AWESOME!!,1
Brokeback Mountain was so awesome.,1
"I want to be here because I love Harry Potter, and I really want a place where people take it serious, but it is still so much fun.",1
", she helped me bobbypin my insanely cool hat to my head, and she laughed at my stupid brokeback mountain cowboy jokes..",0
Brokeback Mountain is fucking horrible..,0
friday hung out with kelsie and we went and saw The Da Vinci Code SUCKED!!!!!,0
man i loved brokeback mountain!,1
Brokeback Mountain is fucking horrible..,0
I think I hate Harry Potter because it outshines much better reading material out there and the movies are just plain stupid to begin with.,0
friday hung out with kelsie and we went and saw The Da Vinci Code SUCKED!!!!!,0
Brokeback Mountain was an AWESOME movie.,1
FYI-Mission Impossible 3 is awesome..,1
"the story of Harry Potter is a deep and profound one, and I love Harry Potter.",1
"Da Vinci Code = Up, Up, Down, Down, Left, Right, Left, Right, B, A, SUCK!",0
Love luv lubb the Da Vinci Code!,1
friday hung out with kelsie and we went and saw The Da Vinci Code SUCKED!!!!!,0
da vinci code sucks...,0
i love being a sentry for mission impossible and a station for bonkers.,1
Ok brokeback mountain is such a horrible movie.,0
I love Harry Potter.,1
"I, too, like Harry Potter..",1
"that's like asking if "" brokeback mountain "" is a good rep of cowboys...",1
"I hate Harry Potter, that daniel wotshisface needs a fucking slap...",0
The Da Vinci Code is awesome..,1
"I liked the first "" Mission Impossible.",1
"Oh, and Brokeback Mountain is a TERRIBLE movie...",0
dudeee i LOVED brokeback mountain!!!!,1
i love mission impossible!!!!!!!!!!!..,1
DA VINCI CODE IS AWESOME!!,1
MISSION IMPOSSIBLE 2 ~ REALLY SUCKS!!!!!!!!!!!!!!!!!!!!!!!!!!!..,0
friday hung out with kelsie and we went and saw The Da Vinci Code SUCKED!!!!!,0
I love the fallon / mission impossible dad left us convo...,1
Ok brokeback mountain is such a horrible movie.,0
"Not because I hate Harry Potter, but because I am the type of person that likes it when the main character dies.",0
"Harry Potter dragged Draco Malfoy ’ s trousers down past his hips and sucked him into his throat with vigor, making whimpering noises and panting and groaning around the blonds rock-hard, aching cock...",0
Da Vinci Code sucks.,0
"Not because I hate Harry Potter, but because I am the type of person that likes it when the main character dies.",0
"He opened his mouth to dictate his reply about having Harry Potter suck his cock, only to be cut off by his mirror speaking up.",0
Which is why i said silent hill turned into reality coz i was hella like goin mission impossible down that bitch.,1
friday hung out with kelsie and we went and saw The Da Vinci Code SUCKED!!!!!,0
Love luv lubb the Da Vinci Code!,1
The Da Vinci Code is awesome!!,1
I love Harry Potter.,1
Brokeback Mountain was the most awful movie I have ever seen.,0
", she helped me bobbypin my insanely cool hat to my head, and she laughed at my stupid brokeback mountain cowboy jokes..",0
So Brokeback Mountain was really depressing.,0
The Da Vinci Code sucked big time.,0
da vinci code was an awesome movie...,1
"Because I would like to make friends who like the same things I like, and I really like Harry Potter, so I thought that joining a community like this would be a good start.",1
i love kirsten / leah / kate escapades and mission impossible tom as well...,1
"I liked the first "" Mission Impossible.",1
Brokeback Mountain was an AWESOME movie.,1
"Mission Impossible 2 was a horrible film that made me cringe whenever I think about it, so horrible it was that I lost respect for John Woo(",0
"Harry Potter sucks Hairy Otters, it is for the wussies who can't read real books..(",0
DA VINCI CODE IS AWESOME!!,1
Love luv lubb the Da Vinci Code!,1
Brokeback Mountain was an AWESOME movie.,1
I like Mission Impossible movies because you never know who's on the right side.,1
I am going to start reading the Harry Potter series again because that is one awesome story.,1
I wanted desperately to love'The Da Vinci Code as a film.,1
i heard da vinci code sucked soo much only 2.5 stars:,0
" Now some people will say to me, Joe, I liked the Da Vinci code, you're being too hard on Dan Brown.
1	I love the da vinci code...
1	Well I did enjoy Bridget Jones and I loved the Da Vinci Code so this idea appeals to me and it takes Chick Lit into one of the few arenas that the genre has yet to explore...
1	I just read Da Vinci Code ( which was AWESOME by the way )  .
1	The Da Vinci Code is excellent if you read it as normal as you read other novels,,,..
1	I loved the Da Vinci Code!
1	I love reading The Da Vinci Code!!!!
1	I'm telling you, the Da Vinci Code is an AWESOME book!
1	Then again, my opinion may be a bit biased because I loved the Da Vinci Code soundtrack. ).
1	And I was quite pleased with my own open-mindedness, after having loved The Da Vinci Code so much, that I was able to get equal enjoyment  seeing how the other side reads.",1
"So as felicia's mom is cleaning the table, felicia grabs my keys and we dash out like freakin mission impossible.",1
I love The Da Vinci Code...,1
Brokeback Mountain was so awesome.,1
"Anyway, we both love Harry Potter, books, Pirates of the Caribbean, taking pictures, and writing and we have the same sarcastic and quirky sense of humor.",1
Harry Potter is AWESOME I don't care if anyone says differently!..,1
"I liked the first "" Mission Impossible.",1
man i loved brokeback mountain!,1
Brokeback Mountain was boring.,0
Brokeback Mountain was so awesome.,1
"Because I would like to make friends who like the same things I like, and I really like Harry Potter, so I thought that joining a community like this would be a good start.",1
"Harry Potter dragged Draco Malfoy ’ s trousers down past his hips and sucked him into his throat with vigor, making whimpering noises and panting and groaning around the blonds rock-hard, aching cock...",0
I hate Harry Potter.,0
"oh, and i hated "" the da vinci code "" the novel....",0
My dad's being stupid about brokeback mountain...,0
I wanted desperately to love'The Da Vinci Code as a film.,1
Harry Potter is AWESOME I don't care if anyone says differently!..,1
I also adore Harry Potter and Hogwarts...,1
My dad's being stupid about brokeback mountain...,0
i love kirsten / leah / kate escapades and mission impossible tom as well...,1
the people who are worth it know how much i love the da vinci code.,1
da vinci code sucks...,0
I love Harry Potter.,1
"So as felicia's mom is cleaning the table, felicia grabs my keys and we dash out like freakin mission impossible.",1
friday hung out with kelsie and we went and saw The Da Vinci Code SUCKED!!!!!,0
"by the way, the Da Vinci Code sucked, just letting you know...",0
"I hate Harry Potter, it's retarted, gay and stupid and there's only one Black guy...",0
Da Vinci Code sucks be...,0
"Anyway, thats why I love "" Brokeback Mountain.",1
I hate Harry Potter..,0
Mission Impossible III-Sucks big-time!..,0
"I love the Harry Potter series if you can count that as "" a "" book, also Catcher In the Tye, Jane Eyre, The Virgin Suicides, yeah...",1
the people who are worth it know how much i love the da vinci code.,1
Ok brokeback mountain is such a horrible movie.,0
"To be fair, Harry Potter and the Goblet of Fire ( the novel ) is simply a lower shade of brilliant than the others, but I had issues with it.",1
I think I hate Harry Potter because it outshines much better reading material out there and the movies are just plain stupid to begin with.,0
"I hate Harry Potter, it's retarted, gay and stupid and there's only one Black guy...",0
I love Harry Potter!.,1
"The Da Vinci Code was awesome, I can't wait to read it...",1
the Da Vinci Code is awesome..,1
"by the way, the Da Vinci Code sucked, just letting you know...",0
"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..",1
"I hate Harry Potter, that daniel wotshisface needs a fucking slap...",0
Da Vinci Code sucked..,0
man i loved brokeback mountain!,1
mission impossible 2 rocks!!....,1
The Da Vinci Code sucked big time.,0
I'm glad that stupid Brokeback Mountain didn't win..,0
THE DA VINCI CODE SUCKS.,0
I love the Mission Impossible movies but this guy is really wacked.,1
"by the way, the Da Vinci Code sucked, just letting you know...",0
I am going to start reading the Harry Potter series again because that is one awesome story.,1
"I love the Harry Potter series if you can count that as "" a "" book, also Catcher In the Tye, Jane Eyre, The Virgin Suicides, yeah...",1
we're gonna like watch Mission Impossible or Hoot.(,1
"the story of Harry Potter is a deep and profound one, and I love Harry Potter.",1
"Oh, and Brokeback Mountain was a terrible movie.",0
i heard da vinci code sucked soo much only 2.5 stars:,0
"Combining the opinion / review from Gary and Gin Zen, The Da Vinci Code sucks.",0
the people who are worth it know how much i love the da vinci code.,1
"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..",1
we're gonna like watch Mission Impossible or Hoot.(,1
Da Vinci Code sucks be...,0
dudeee i LOVED brokeback mountain!!!!,1
I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,1
Brokeback Mountain was an AWESOME movie.,1
Da Vinci Code sucked..,0
da vinci code was an awesome movie...,1
These Harry Potter movies really suck.,0
i heard da vinci code sucked soo much only 2.5 stars:,0
"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..",1
"by the way, the Da Vinci Code sucked, just letting you know...",0
the last stand and Mission Impossible 3 both were awesome movies.,1
I think I hate Harry Potter because it outshines much better reading material out there and the movies are just plain stupid to begin with.,0
"by the way, the Da Vinci Code sucked, just letting you know...",0
"Anyway, thats why I love "" Brokeback Mountain.",1
"I love the Harry Potter series if you can count that as "" a "" book, also Catcher In the Tye, Jane Eyre, The Virgin Suicides, yeah...",1
I thought Brokeback Mountain was an awful movie.,0
"Da Vinci Code = Up, Up, Down, Down, Left, Right, Left, Right, B, A, SUCK!",0
"I, too, like Harry Potter..",1
"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..",1
I HATE Harry Potter.,0
Brokeback Mountain is fucking horrible..,0
Mission impossible 3 is awesome..,1
"so instead we went to see Mission Impossible 3, which was freaking awesome!",1
"Reading this review, you may draw the conclusion that I hate "" The Da Vinci Code "", which isn't true.",0
"Is it just me, or does Harry Potter suck?...",0
These Harry Potter movies really suck.,0
Mission Impossible 3 is awesome!!.,1
mission impossible 2 rocks!!....,1
"I hope they end this franchise here, or Mission Impossible 4 may see Cruise facing off against the evil Richard Simmons..",0
DA VINCI CODE-SUCKED BALLZ.,0
"by the way, the Da Vinci Code sucked, just letting you know...",0
"Hey, Mission Impossible 3 is AWESOME!!!!!!!!!!!!!!!!!!!!!!!!!",1
"I'm sorry I hate to read Harry Potter, but I love the movies!..",0
These Harry Potter movies really suck.,0
friday hung out with kelsie and we went and saw The Da Vinci Code SUCKED!!!!!,0
Da Vinci Code sucks be...,0
The Da Vinci Code is awesome..,1
the last stand and Mission Impossible 3 both were awesome movies.,1
I just love the Harry Potter series.,1
Da Vinci Code sucks.,0
I love Harry Potter.,1
"No, I'm just sick of him making crappy Mission Impossible sequels.",0
I love Brokeback Mountain.,1
This quiz sucks and Harry Potter sucks ok bye..,0
Brokeback mountain was beautiful...,1
the da vinci code sucks majorly....,0
I love Brokeback Mountain....,1
"I, too, like Harry Potter..",1
Brokeback Mountain was one boring show … well at least they had super the cute actors …..,0
I hate Harry Potter.,0
"I hate Harry Potter, it's retarted, gay and stupid and there's only one Black guy...",0
So Brokeback Mountain was really depressing.,0
Da Vinci Code sucked..,0
I love Brokeback Mountain.,1
"Oh, and Brokeback Mountain was a terrible movie.",0
Love luv lubb the Da Vinci Code!,1
Brokeback Mountain was boring.,0
"Oh, and Brokeback Mountain is a TERRIBLE movie...",0
I love Harry Potter.,1
Brokeback Mountain is fucking horrible..,0
"Then snuck into Brokeback Mountain, which is the most depressing movie I have ever seen..",0
I was thinking of re-reading the 6th Harry Potter book ( Half-Blood Prince ) which is an awesome book and I can't wait to read the final one when it comes out.,1
i love kirsten / leah / kate escapades and mission impossible tom as well...,1
So Brokeback Mountain was really depressing.,0
"Combining the opinion / review from Gary and Gin Zen, The Da Vinci Code sucks.",0
My dad's being stupid about brokeback mountain...,0
"I, too, like Harry Potter..",1
My dad's being stupid about brokeback mountain...,0
So Brokeback Mountain was really depressing.,0
I hate Harry Potter.,0
"Da Vinci Code = Up, Up, Down, Down, Left, Right, Left, Right, B, A, SUCK!",0
"So as felicia's mom is cleaning the table, felicia grabs my keys and we dash out like freakin mission impossible.",1
Ok brokeback mountain is such a horrible movie.,0
I loved The Da Vinci Code!,1
Da Vinci Code sucks be...,0
dudeee i LOVED brokeback mountain!!!!,1
Da Vinci Code sucked..,0
Brokeback Mountain was boring.,0
Ok brokeback mountain is such a horrible movie.,0
"As I sit here, watching the MTV Movie Awards, I am reminded of how much I despised the movie Brokeback Mountain.",0
Ok brokeback mountain is such a horrible movie.,0
man i loved brokeback mountain!,1
1st and 2nd Harry Potter movies are clearly the best / funniest...,1
The Da Vinci Code sucked big time.,0
Da Vinci Code sucks.,0
Da Vinci Code sucked..,0
the people who are worth it know how much i love the da vinci code.,1
Which is why i said silent hill turned into reality coz i was hella like goin mission impossible down that bitch.,1
"the story of Harry Potter is a deep and profound one, and I love Harry Potter.",1
I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,1
Brokeback Mountain and Requiem for a Dream both suck equally...,0
I hate Harry Potter.,0
Which is why i said silent hill turned into reality coz i was hella like goin mission impossible down that bitch.,1
These Harry Potter movies really suck.,0
I found that Harry Potter is a great read in German..,1
"I, too, like Harry Potter..",1
I loved the first Mission Impossible.,1
"Da Vinci Code = Up, Up, Down, Down, Left, Right, Left, Right, B, A, SUCK!",0
I love Brokeback Mountain.,1
the people who are worth it know how much i love the da vinci code.,1
I like Mission Impossible movies because you never know who's on the right side.,1
the people who are worth it know how much i love the da vinci code.,1
"The Da Vinci Code was awesome, I can't wait to read it...",1
The Da Vinci Code was absolutely AWESOME!,1
This quiz sucks and Harry Potter sucks ok bye..,0
I love Harry Potter..,1
Harry Potter is awesome!,1
So Brokeback Mountain was really depressing.,0
"I, too, like Harry Potter..",1
the people who are worth it know how much i love the da vinci code.,1
"Oh, and Brokeback Mountain was a terrible movie.",0
So Brokeback Mountain was really depressing.,0
"I want to be here because I love Harry Potter, and I really want a place where people take it serious, but it is still so much fun.",1
the people who are worth it know how much i love the da vinci code.,1
"I liked the first "" Mission Impossible.",1
Harry Potter will suck you in like the rest of us and turn you into a geek in addition to a nerd.,0
man i loved brokeback mountain!,1
the last stand and Mission Impossible 3 both were awesome movies.,1
friday hung out with kelsie and we went and saw The Da Vinci Code SUCKED!!!!!,0
i love being a sentry for mission impossible and a station for bonkers.,1
So Brokeback Mountain was really depressing.,0
", and i love brokeback mountain...",1
I hate Harry Potter.,0
I love Harry Potter.,1
I love The Da Vinci Code...,1
"Oh, and Brokeback Mountain is a TERRIBLE movie...",0
Brokeback Mountain was boring.,0
", she helped me bobbypin my insanely cool hat to my head, and she laughed at my stupid brokeback mountain cowboy jokes..",0
man i loved brokeback mountain!,1
i heard da vinci code sucked soo much only 2.5 stars:,0
"Loved the Mission Impossible quip and the fact that V made the Tom Cruise joke, they never get old to me, TC is such a freak.",1
"Spoke with Mrs. Cowan briefly about a Harry Potter independent study, which would be incredibly awesome, but which I am also far, far too lazy to take my last semester in college...",1
"I hate Harry Potter, that daniel wotshisface needs a fucking slap...",0
"Is it just me, or does Harry Potter suck?...",0
"Oh, and Brokeback Mountain was a terrible movie.",0
I love your coloured Harry Potter too: ).,1
"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..",1
oh and i loved the da vinci code.,1
Mission Impossible 3 sucked......,0
"Not because I hate Harry Potter, but because I am the type of person that likes it when the main character dies.",0
Love the Harry Potter series though I try not to talk about it too much..,1
i love kirsten / leah / kate escapades and mission impossible tom as well...,1
The Da Vinci Code sucked big time.,0
Brokeback mountain was beautiful...,1
"The Da Vinci Code was awesome, I can't wait to read it...",1
"So as felicia's mom is cleaning the table, felicia grabs my keys and we dash out like freakin mission impossible.",1
"Oh, and Brokeback Mountain was a terrible movie.",0
I think I hate Harry Potter because it outshines much better reading material out there and the movies are just plain stupid to begin with.,0
i love being a sentry for mission impossible and a station for bonkers.,1
"Also: "" Sexy Harry Potter.",1
So Brokeback Mountain was really depressing.,0
Love luv lubb the Da Vinci Code!,1
I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,1
DA VINCI CODE IS AWESOME!!,1
da vinci code sucks...,0
Brokeback Mountain is fucking horrible..,0
we're gonna like watch Mission Impossible or Hoot.(,1
Love luv lubb the Da Vinci Code!,1
"Oh, and Brokeback Mountain is a TERRIBLE movie...",0
Brokeback Mountain sucked.,0
The Da Vinci Code is awesome!!,1
i love kirsten / leah / kate escapades and mission impossible tom as well...,1
Mission Impossible 3 was excellent.,1
"Combining the opinion / review from Gary and Gin Zen, The Da Vinci Code sucks.",0
"Oh, and Brokeback Mountain was a terrible movie.",0
brokeback mountain is awesome.,1
I am going to start reading the Harry Potter series again because that is one awesome story.,1
i love kirsten / leah / kate escapades and mission impossible tom as well...,1
Which is why i said silent hill turned into reality coz i was hella like goin mission impossible down that bitch.,1
I love Harry Potter..,1
"The Da Vinci Code was awesome, I can't wait to read it...",1
"Irrespective of whether she writes them or not, I am sure that the Harry Potter legacy is in good hands and I sure hope that the grand finale lives up to the hype.....",1
The Da Vinci Code is awesome!!,1
"When I was in primary school, I loved Harry Potter to bits.",1
"Oh, and Brokeback Mountain was a terrible movie.",0
"Da Vinci Code = Up, Up, Down, Down, Left, Right, Left, Right, B, A, SUCK!",0
i love being a sentry for mission impossible and a station for bonkers.,1
Love luv lubb the Da Vinci Code!,1
"I like Harry Potter, I like Eragon, I like Lord of the Rings...",1
I love all Harry Potter fandom.,1
the people who are worth it know how much i love the da vinci code.,1
we're gonna like watch Mission Impossible or Hoot.(,1
dudeee i LOVED brokeback mountain!!!!,1
"Still, none of that had felt nearly as exquisite as having Harry Potter sucking his cock...",0
"The Da Vinci Code was awesome, I can't wait to read it...",1
"Oh, and Brokeback Mountain is a TERRIBLE movie...",0
So Brokeback Mountain was really depressing.,0
I love Brokeback Mountain.,1
Da Vinci Code sucks be...,0
I love The Da Vinci Code...,1
i hate Brokeback Mountain!!!!!!!..,0
"Because I would like to make friends who like the same things I like, and I really like Harry Potter, so I thought that joining a community like this would be a good start.",1
"Always knows what I want, not guy crazy, hates Harry Potter..",0
The Da Vinci Code was absolutely AWESOME!,1
the last stand and Mission Impossible 3 both were awesome movies.,1
Da Vinci Code sucks.,0
i heard da vinci code sucked soo much only 2.5 stars:,0
"So as felicia's mom is cleaning the table, felicia grabs my keys and we dash out like freakin mission impossible.",1
"Always knows what I want, not guy crazy, hates Harry Potter..",0
Brokeback Mountain is fucking horrible..,0
I think I hate Harry Potter because it outshines much better reading material out there and the movies are just plain stupid to begin with.,0
"I liked the first "" Mission Impossible.",1
I love Brokeback Mountain.,1
Harry Potter is AWESOME I don't care if anyone says differently!..,1
man i loved brokeback mountain!,1
So Brokeback Mountain was really depressing.,0
Da Vinci Code sucked..,0
The Da Vinci Code sucked big time.,0
I love Harry Potter..,1
man i loved brokeback mountain!,1
stupid brokeback mountain.(,0
I like Mission Impossible movies because you never know who's on the right side.,1
"by the way, the Da Vinci Code sucked, just letting you know...",0
"So as felicia's mom is cleaning the table, felicia grabs my keys and we dash out like freakin mission impossible.",1
the people who are worth it know how much i love the da vinci code.,1
Da Vinci Code sucks be...,0
The Da Vinci Code sucked big time.,0
I love Brokeback Mountain....,1
"Is it just me, or does Harry Potter suck?...",0
"I, too, like Harry Potter..",1
Brokeback mountain was beautiful...,1
This quiz sucks and Harry Potter sucks ok bye..,0
Which is why i said silent hill turned into reality coz i was hella like goin mission impossible down that bitch.,1
The Da Vinci Code is awesome..,1
I love Brokeback Mountain.,1
I actually loved Da Vinci Code.,1
Brokeback mountain was beautiful...,1
The Da Vinci Code was absolutely AWESOME!,1
I think I hate Harry Potter because it outshines much better reading material out there and the movies are just plain stupid to begin with.,0
Brokeback Mountain was so awesome.,1
Love luv lubb the Da Vinci Code!,1
The Da Vinci Code sucked big time.,0
i love kirsten / leah / kate escapades and mission impossible tom as well...,1
dudeee i LOVED brokeback mountain!!!!,1
", she helped me bobbypin my insanely cool hat to my head, and she laughed at my stupid brokeback mountain cowboy jokes..",0
"Da Vinci Code = Up, Up, Down, Down, Left, Right, Left, Right, B, A, SUCK!",0
well mission impossible 3 sucked a lot.,0
DA VINCI CODE IS AWESOME!!,1
I love Brokeback Mountain.,1
brokeback mountain is awesome.,1
I love Harry Potter.,1
"Is it just me, or does Harry Potter suck?...",0
"Is it just me, or does Harry Potter suck?...",0
I love Brokeback Mountain....,1
we're gonna like watch Mission Impossible or Hoot.(,1
I think I hate Harry Potter because it outshines much better reading material out there and the movies are just plain stupid to begin with.,0
I overslept though so jenn and i didn't get to see the da vinci code which sucked and now i have no money so yeah maybe later.,0
I love Harry Potter.,1
the last stand and Mission Impossible 3 both were awesome movies.,1
which made me realize how much I love Harry Potter..,1
"Anyway, thats why I love "" Brokeback Mountain.",1
"So as felicia's mom is cleaning the table, felicia grabs my keys and we dash out like freakin mission impossible.",1
I love Harry Potter.,1
"I liked the first "" Mission Impossible.",1
"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..",1
Which is why i said silent hill turned into reality coz i was hella like goin mission impossible down that bitch.,1
Love luv lubb the Da Vinci Code!,1
"I hate Harry Potter, that daniel wotshisface needs a fucking slap...",0
"I want to be here because I love Harry Potter, and I really want a place where people take it serious, but it is still so much fun.",1
I love Harry Potter.,1
I wanted desperately to love'The Da Vinci Code as a film.,1
"As I sit here, watching the MTV Movie Awards, I am reminded of how much I despised the movie Brokeback Mountain.",0
I hate Harry Potter.,0
dudeee i LOVED brokeback mountain!!!!,1
Love luv lubb the Da Vinci Code!,1
"Oh, and Brokeback Mountain was a terrible movie.",0
and we snuck in ] and going to Springer's. [ BROKEBACK MOUNTAIN IS AWESOME!!!-Yes I finally saw it.,1
I love Harry Potter.,1
"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..",1
"Oh, and Brokeback Mountain is a TERRIBLE movie...",0
Mission Impossible 3 was excellent.,1
I really enjoyed the Da Vinci Code but thought I would be disappointed in the other books & # 8230;.,1
"Oh, and Brokeback Mountain is a TERRIBLE movie...",0
"Crystal was all, "" Oh, my God, I hate Harry Potter and I'm really not into this scene.",0
"I hate Harry Potter, that daniel wotshisface needs a fucking slap...",0
"Mission Impossible of course, was awesome as all get out.",1
"So as felicia's mom is cleaning the table, felicia grabs my keys and we dash out like freakin mission impossible.",1
"Combining the opinion / review from Gary and Gin Zen, The Da Vinci Code sucks.",0
"Da Vinci Code = Up, Up, Down, Down, Left, Right, Left, Right, B, A, SUCK!",0
Da Vinci Code sucked..,0
I hate Harry Potter...,0
Da Vinci Code is a friggin awesome book.,1
Brokeback Mountain is fucking horrible..,0
man i loved brokeback mountain!,1
"the story of Harry Potter is a deep and profound one, and I love Harry Potter.",1
Da Vinci Code kinda sucks second time around..,0
Harry Potter is AWESOME I don't care if anyone says differently!..,1
I hate Harry Potter.,0
i love being a sentry for mission impossible and a station for bonkers.,1
The Da Vinci Code was absolutely AWESOME!,1
I love Harry Potter..,1
Love luv lubb the Da Vinci Code!,1
"Is it just me, or does Harry Potter suck?...",0
i love being a sentry for mission impossible and a station for bonkers.,1
Brokeback Mountain was boring.,0
"I love the Harry Potter series if you can count that as "" a "" book, also Catcher In the Tye, Jane Eyre, The Virgin Suicides, yeah...",1
"Because I would like to make friends who like the same things I like, and I really like Harry Potter, so I thought that joining a community like this would be a good start.",1
"Oh, and Brokeback Mountain was a terrible movie.",0
friday hung out with kelsie and we went and saw The Da Vinci Code SUCKED!!!!!,0
"I liked the first "" Mission Impossible.",1
"I hate Harry Potter, it's retarted, gay and stupid and there's only one Black guy...",0
"Anyway, thats why I love "" Brokeback Mountain.",1
Which is why i said silent hill turned into reality coz i was hella like goin mission impossible down that bitch.,1
Mission Impossible III was SO awesome!..,1
Which is why i said silent hill turned into reality coz i was hella like goin mission impossible down that bitch.,1
"Derek and I saw 3 movies, Brokeback Mountain, which was beautiful, I almost cried.",1
I loved the first Mission Impossible movie.,1
Harry Potter is AWESOME I don't care if anyone says differently!..,1
Harry Potter is AWESOME I don't care if anyone says differently!..,1
